"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"BV10501824","南汇嘴观海公园(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","浦东33路","121.971771","30.882118","121.96759939569743","30.88440640264125","[]","上海市","上海市","浦东新区"
"BV11648836","环湖南二路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","环滴水湖观光线","121.949032","30.882873","121.94491462407142","30.88521548398549","[]","上海市","上海市","浦东新区"
"BV10501826","小桉路环湖东一路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","浦东33路","121.954781","30.892435","121.95065089207438","30.894759624727165","[]","上海市","上海市","浦东新区"
"BV10501828","环湖东一路小桉路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","浦东33路;环滴水湖观光线","121.952057","30.890152","121.94793290972457","30.892483917088484","[]","上海市","上海市","浦东新区"
"BV11694067","临港科技城(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","临港定制2线","121.917513","30.877548","121.91343445481083","30.87993744753057","[]","上海市","上海市","浦东新区"
"BV10845483","环湖南一路赤风港(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","环滴水湖观光线","121.946415","30.886324","121.94230232623606","30.888669653354395","[]","上海市","上海市","浦东新区"
"BV10976990","临港六院(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","万隆村民委员会-临港六院;六院专线","121.921158","30.885096","121.91707694926828","30.887478163884094","[]","上海市","上海市","浦东新区"
"BV10032022","临港展示中心(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","环滴水湖观光线","121.927383","30.900946","121.92329583635315","30.903312578937218","[]","上海市","上海市","浦东新区"
"BV10031838","滴水湖地铁站(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","1009路;1043路;1096路;建设者小镇定制班线;洋山专线;浦东33路;申港1路;自贸试验区洋山1线","121.929443","30.907312","121.92535328466998","30.909672372510396","[]","上海市","上海市","浦东新区"
"BV11569695","滴水湖站(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","临港中运量1号线","121.928572","30.908041","121.92448311234305","30.91040200430685","[]","上海市","上海市","浦东新区"
"BV11648837","环湖东一路东港大道(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","环滴水湖观光线","121.954878","30.896771","121.9507473252996","30.899092862504794","[]","上海市","上海市","浦东新区"
"BV11426716","临港税务中心(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","自贸试验区洋山1线","121.916845","30.895781","121.91276525022","30.898160239930036","[]","上海市","上海市","浦东新区"
"BV09011764","环湖西三路站(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","临港中运量1号线","121.924123","30.911706","121.92003774170398","30.914069744717303","[]","上海市","上海市","浦东新区"
"BV10037802","滴水湖馨苑(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","1096路","121.911491","30.894270","121.90741271028408","30.896653105110808","[]","上海市","上海市","浦东新区"
"BV11569700","环湖西三路站(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","临港中运量1号线","121.923455","30.912717","121.91937016149872","30.915080808322365","[]","上海市","上海市","浦东新区"
"BV10991278","南港大道环湖南二路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","浦东33路","121.940812","30.882886","121.93670925290785","30.885243890600123","[]","上海市","上海市","浦东新区"
"BV10991272","环湖南二路南港大道(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","浦东33路","121.939436","30.881428","121.93533551998566","30.883789063962606","[]","上海市","上海市","浦东新区"
"BV10991273","南港大道环湖南一路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","浦东33路","121.940694","30.883746","121.93659137076837","30.88610359007782","[]","上海市","上海市","浦东新区"
"BV10845480","环湖南一路南港大道(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","浦东33路;环滴水湖观光线","121.940187","30.885317","121.93608504236352","30.887674533386885","[]","上海市","上海市","浦东新区"
"BV11694014","橄榄路茉莉路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","临港定制16线","121.905161","30.889878","121.90108272095986","30.892265538811404","[]","上海市","上海市","浦东新区"
"BV10498357","长兴消防中队(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","长兴2路;长兴4路","121.713593","31.392132","121.70921939068866","31.394110484144186","[]","上海市","上海市","崇明区"
"BV11400630","长橘路丰福路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","1731路(高峰线);长兴3路","121.705894","31.394353","121.70153022663459","31.39634150589981","[]","上海市","上海市","崇明区"
"BV10498373","前卫农场(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","长兴2路;长兴4路","121.722397","31.388811","121.71801468117908","31.390780332619993","[]","上海市","上海市","崇明区"
"BV11484662","招呼站(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","长兴1路","121.706150","31.392674","121.70178600647286","31.39466260670836","[]","上海市","上海市","崇明区"
"BV11612785","长兴医院(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","长兴4路","121.706033","31.392643","121.70166917459156","31.394631788554157","[]","上海市","上海市","崇明区"
"BV10498359","大华小区(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","1731路(高峰线);长兴2路;长兴3路","121.701615","31.393728","121.69725761306303","31.395723244065465","[]","上海市","上海市","崇明区"
"BV10498368","潘圆公路丰福路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","长兴2路;长兴3路","121.705582","31.393390","121.70121875284443","31.39537924449519","[]","上海市","上海市","崇明区"
"BV11624201","丰福路潘圆公路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","申崇四线","121.706063","31.392786","121.70169911998809","31.39477470318186","[]","上海市","上海市","崇明区"
"BV11625810","凤辰小区(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","长兴2路;长兴3路;长兴4路","121.697209","31.395946","121.69285844268596","31.397947781646295","[]","上海市","上海市","崇明区"
"BV11305434","凤蓉路渔乐路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","1731路(高峰线);长兴4路","121.697604","31.393277","121.69325302070015","31.395278882298495","[]","上海市","上海市","崇明区"
"BV10602340","潘圆公路凤凰公路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","长兴3路","121.694375","31.399301","121.69002890907755","31.401306646342483","[]","上海市","上海市","崇明区"
"BV10498371","长明村(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","长兴2路;长兴4路","121.732811","31.384813","121.72842224853432","31.386774798207675","[]","上海市","上海市","崇明区"
"BV11507155","长兴卫生院(下客站)(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","陈凤线","121.706037","31.392665","121.70167316706072","31.394653776327434","[]","上海市","上海市","崇明区"
"BV11305435","行政中心(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","1731路(高峰线);长兴4路","121.700668","31.388880","121.69631249183533","31.390878149083854","[]","上海市","上海市","崇明区"
"BV11576557","长兴人民医院站(临时站)(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","申崇五线","121.706068","31.392813","121.70170411062138","31.39480168805029","[]","上海市","上海市","崇明区"
"BV11305433","凤蓉路海舸路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","1731路(高峰线);长兴4路","121.696823","31.390247","121.6924735620039","31.392251058767293","[]","上海市","上海市","崇明区"
"BV10602345","解放圩(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","长兴3路","121.683990","31.401514","121.67966239088992","31.403537680139692","[]","上海市","上海市","崇明区"
"BV11219264","江南大道丰福路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","1731路(高峰线);长兴1路","121.706975","31.386649","121.70261036217035","31.38863814605539","[]","上海市","上海市","崇明区"
"BV11305430","江南大道月牙港路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","1731路(高峰线)","121.710230","31.385642","121.70586108987291","31.38762683663789","[]","上海市","上海市","崇明区"
"BV10458270","凤东路金淼路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","1731路(高峰线)","121.712457","31.381428","121.70808565919131","31.383411101595723","[]","上海市","上海市","崇明区"
"BV11594367","滨海古园(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","新芦专线;新芦专线区间","121.715378","30.856159","121.71104744188268","30.858405838881637","[]","上海市","上海市","奉贤区"
"BV11594384","五四社区(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","635路;南五线;南五线(区间);四团2线;新芦专线;江五线;海湾3线","121.737186","30.864662","121.73283961512561","30.866884833519407","[]","上海市","上海市","奉贤区"
"BV11634177","场中路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","南五线;南五线(区间)","121.732344","30.865846","121.72799920877527","30.868070976387834","[]","上海市","上海市","奉贤区"
"BV11167794","五四场部(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","江五线","121.735026","30.865660","121.73068016307467","30.867883412348874","[]","上海市","上海市","奉贤区"
"BV11486380","场中路终点站(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","南五线(区间)","121.731554","30.866871","121.72720949366416","30.86909592401694","[]","上海市","上海市","奉贤区"
"BV11632011","滨海古园北(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","南五线;南五线(区间)","121.715187","30.866432","121.71085579834336","30.868673138113166","[]","上海市","上海市","奉贤区"
"BV10872479","场中路五四公路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","635路;四团2线;海湾3线","121.731544","30.866796","121.7271995047841","30.86902097448396","[]","上海市","上海市","奉贤区"
"BV11247344","万水路正旭路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","635路","121.748377","30.864618","121.74403061882832","30.866837644924512","[]","上海市","上海市","奉贤区"
"BV10840650","场中路(终点站)(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","南五线(区间)","121.731562","30.866953","121.7272174829341","30.86917787089279","[]","上海市","上海市","奉贤区"
"BV11634178","五四卫生服务中心(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","南五线;南五线(区间);江五线","121.727535","30.866185","121.72319283610737","30.868413416348762","[]","上海市","上海市","奉贤区"
"BV11247341","万水路正博路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","635路;临港定制2线","121.753646","30.864175","121.74930158363367","30.866395027122287","[]","上海市","上海市","奉贤区"
"BV10911005","五四公路芦五公路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","635路;四团2线","121.737439","30.867088","121.73309235170565","30.86930930382315","[]","上海市","上海市","奉贤区"
"BV11612626","承贤路芦五公路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","临港7路B线;四团2线","121.740087","30.869549","121.73573967701395","30.871767717147048","[]","上海市","上海市","奉贤区"
"BV11247347","万水路新杨公路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","635路","121.757452","30.863906","121.75310976770143","30.86612692785205","[]","上海市","上海市","奉贤区"
"BV11641932","承贤路江山路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","四团2线","121.739904","30.873417","121.7355563763979","30.875633541590794","[]","上海市","上海市","奉贤区"
"BV11128918","二勒桥(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","临港7路B线","121.761888","30.865082","121.75754899517645","30.867303801373687","[]","上海市","上海市","奉贤区"
"BV11502750","新杨公路芦五路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","南五线","121.758737","30.865052","121.75439554656704","30.867272639136445","[]","上海市","上海市","奉贤区"
"BV11247339","新杨公路万水路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","635路","121.758733","30.865122","121.75439153788706","30.867342597338812","[]","上海市","上海市","奉贤区"
"BV11612628","江山路恬桃路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","临港7路B线","121.742726","30.874549","121.73837809746092","30.876763915887828","[]","上海市","上海市","奉贤区"
"BV11694064","芦五公路新杨公路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","临港定制2线","121.757348","30.863919","121.75300569902045","30.86613989271418","[]","上海市","上海市","奉贤区"
"BV11272038","济桥路(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","南海二线","121.388294","31.720894","121.38360423013471","31.722643719426845","[]","上海市","上海市","崇明区"
"BV11272042","通济村(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","南海二线","121.384659","31.713192","121.37997273447512","31.714943408532076","[]","上海市","上海市","崇明区"
"BV11272040","鸽东村(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","南海二线","121.391389","31.728702","121.38669662897205","31.730450869498835","[]","上海市","上海市","崇明区"
"BV11272039","猛东村(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","南海二线","121.388069","31.734635","121.38337816707812","31.736386289474677","[]","上海市","上海市","崇明区"
"BV11461895","五大队(招呼站)(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","南海二线","121.384601","31.735642","121.37991279273378","31.737395727160486","[]","上海市","上海市","崇明区"
"BV11330545","三条桥(招呼站)(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","南海二线","121.378299","31.737452","121.37361695890029","31.73921132249848","[]","上海市","上海市","崇明区"
"BV11461893","江民路(招呼站)(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","南海二线","121.392643","31.733307","121.38794957946327","31.735055808900604","[]","上海市","上海市","崇明区"
"BV11272041","民华村(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","南海二线","121.379861","31.705651","121.37518004798832","31.707405712357453","[]","上海市","上海市","崇明区"
"BV10036499","窑桥(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","(停运)南海线(界河桥);南海线;南红专线","121.359077","31.730846","121.3544244990942","31.732629099972073","[]","上海市","上海市","崇明区"
"BV11330388","周河村(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","南海线","121.357691","31.728963","121.35304122556389","31.73074805912768","[]","上海市","上海市","崇明区"
"BV10386626","合中村(公交站)","交通设施服务;公交车站;公交车站相关","150700","[]","(停运)南海线(界河桥)","121.363457","31.736904","121.35879624297135","31.738681248361342","[]","上海市","上海市","崇明区"
